bizid,거주지 및 소득,추가 단서 사항,참여 제한 대상
R2023040609849,2023년 도내 대학 졸업예정자 및 졸업유예자,현장실습 인건비는 기업부담,경기도민
R2023040609850,직업계고 재학생,,직업계고 재학생 이외는 제외
R2023040609851,도내 거주 하는 청년을 구성원으로 하는 단체-구성원이 만 20세부터 만 39세 이하인 자로 구성되고 3인 이상의 모임,,제한없음
R2023040609852,경기도 거주 미취업 청년(만18세-39세),참여청년 450명,경기도 이외 거주자 제외만 18세~39세 이하 청년 외는 제외
R2023040609853,"성남시 거주 또는 활동(재학, 재직)하는 청년",,-
R2023040609854,성남시 청년 누구나,제한없음,제한없음
R2023040609855,소재지가 성남시이거나 최근 3년 이내 성남시에서 활동한 실적 존재하는 청년예술가,신청주체에 1개별 프로젝트 지원 원칙지원금 운용지침에 따른 예산사용 및 정산교부 및 정산지침 미이행 단체 3년간 성남문화재단 지원사업 신청 불가,2020년-2022년 성남문화재단 지원사업 선정대상 중 사업 미수행 혹은 정산보고서를 제출하지 않은 단체 지원불가
R2023040609856,도내 청년,,-
R2023040609857,제한없음,해당없음,해당없음
R2023040609858,"성남시 거주 또는 활동(재학, 재직)하는 청년 모임(2인 이상 6인 이하)",,-
R2023040609859,"경기도에 주민등록 되어 있는 청년(만 19세 ~ 34세) 중 5년 이내 정신건강의학과 진단을 받은 자   ※ 지원 대상 질병 : 질병코드 F20~29(조현병, 분열형·망상장애), F30~39[기분(정동)장애],  F40~48[신경증성, 스트레스 연관 및 신체형 장애]","약제비는 정신과적 치료에 한하여, 처방전 및 약품명이 기재된 영수증 원본 제출 시 지원 가능- 치료 후 결제 건에 한하여 지원 가능(치료 전 결제 불가)- 지원 대상에 해당되더라도 서류가 적합하지 않을 경우 지원 불가- 영수증 당 이중 지원 불가","타 진단코드로 진단이 변경되는 경우, 다른 사업의 지원을 받는 자 등"
R2023040609860,만19세~39세 이하의 세종시(조치원) 거주 청년,해당 없음,해당없음
R2023040609861,관내 만39세 이하 청년,해당없음,제한없음
R2023040609862,없음,-,제한없음
R2023040609863,"다음 자격요건에 모두 해당하는 경우 신청 가능(연 령) 공고일 기준 만18세 이상 - 만34세 이하 청년단, 남성의 경우 병역의무이행자에 한하여 병역의무이행기간만큼 최고 만 39세까지 신청가능 (거주지) 공고일 기준 주민등록상 주소지가 경기도인 자(근로) 근로유형에 관계없이 공고일 기준 근로하는 자휴직자(육아휴직자 포함)는 휴직 증빙서 제출하여 신청 가능(소득 증빙자료는 휴직 직전건강보험료 납부확인서 제출), 국가근로장학생은 신청 불가 (소득) 기준중위소득 100% 이하 가구",2년간 근로 유지 및 매월 10만원 저축,"1, 보건복지부 자산형성지원사업(희망저축계좌1,2, 희망키움통장1,2, 청년희망키움통장, 내일키움통장, 청년저축계좌,청년내일저축계좌(차상위이하))에 참여중이거나 참여 가능한 자 - 국민기초생활보장수급자 및 법정차상위 보장가구 신청불가- 보건복지부가 추진하는 아동 교육이 목적인 디딤씨앗통장 참여가구는 중복가입 가능2, 보건복지부 청년내일저축계좌(차상위초과),고용노동부 청년내일채움공제·중소벤처기업부 청년재직자 내일채움공제 가입자 및 수혜자- 해지자 중 실제 지원금을 지급받지 않은 경우 신청 가능3, 1,2 외의 국가 및 타지자체의 자산형성지원사업(희망두배청년통장 등)에 참여중이거나 참여하여 지원금을 수령한 수혜자- 해지자 중 실제 지원금을 지급받지 않은 경우 신청 가능4, 경기도 청년 노동자통장(경기도 일하는 청년 통장 포함)에 참여중이거나 참여하여 지원금을 수령한 수혜자 또는 중도해지자- 해지자 중 12개월 미만 병역의무 이행으로 해지한 경우 신청가능5, 경기도 청년노동자 지원사업(청년연금, 청년마이스터통장, 청년복지포인트) 참여중이거나 중도해지 후 1년이 경과하지 않은자6, 국가공무원법 및 지방공무원법상 공무원(국가, 지자체 무기계약 근로자 포함), 국가 지자체의 공공기관 임직원(기간제 근로자 제외)- 공공기관 범위 : 정부 공공기관, 지자체 출자 출연기관, 지방공기업7, 병역의무 이행 중인자8, 제외업종 근로자-불법 향락업체 및 불법 도박, 불법 사행업 종사자9, 기타 행정기관에서 부적절하다고 판단되는 자"
R2023040609864,"해운, 물류업 취업을 희망하는 경기도 소재 대학 졸업 및 졸업 예정자 또는 경기도에 주소지를 둔 청년",,취업자
R2023040609865,도내 환경직무 관련 전공 대학생 및 졸업생 (취업준비생),,-
R2023040609866,-,,-
R2023040609867,"① 만18세 이상 ~ 만34세 이하* 경기도 거주자  * 병역 의무 이행자는 병역의무이행 기간만큼 신청연령 연장(최고 만39세)② 도내 중소(중견)기업,소상공인업체,비영리법인*(주36시간이상근무)재직자  * 비영리법인 중 국가·지방자치단체, 공공기관은 제외③ 직전 건강보험료 3개월 평균 109,900원(월 과세급여 310만원) 이하  * 4대사회보험미가입자의 경우 직전 3개월 평균급여가 310만원 이하인자","공공기관 범위 : 정부 공공기관, 지자체 출자·출연기관, 지방공기업  ※ 관련 규정  ∙ ｢공공기관의 운영에 관한 법률｣ 제4조(공공기관), ｢지방공기업법｣ 제2조(적용 범위)  ∙ ｢지방자치단체 출자ㆍ출연 기관의 운영에 관한 법률｣ 제2조(적용 대상 등)","① 본 사업 참여자격(연령, 거주지, 근무조건) 미충족자  ※ 비영리법인 중 공공기관 노동자, 국가지방자치단체(사업자번호 83) 등② 청년 노동자 지원사업(청년 복지포인트) 참여 이력이 있는 자 * 대상자 선정 이후 사전절차 미이행으로 자격상실된 자 포함(사업 자진포기자 제외)  - 접수기준일(‘22.6.2.)기준1년이내아래①~③에해당하는지자체사업참여자*(단, 2차의 경우 접수기준일(‘22.8.1.) 기준 1년 이내)  * 단, 본 사업 신청개시일 이전 참여사업 정상 종료 후에는 1년 이내라도 참여 가능  - 청년 노동자 통장(舊 일하는 청년 통장) / 청년 노동자 지원사업(청년연금) / 청년 노동자 지원사업(중소기업 청년 노동자 지원사업(舊 마이스터 통장))③ 국가근로장학생 / 해외파견자④ 휴직자(육아휴직 포함) / 군 복무 중인 자, 사회복무요원, 전문연구요원, 산업기능요원   ※ 내일채움공제,청년내일채움공제,청년재직자내일채움공제 중복참여 가능"
R2023040609868,"면접활동을 하는 경기도 내 만 18세 이상 만 39세 이하 청년단기간 일자리(주 30시간 미만)에 응시한 면접도 신청 가능함(2차 기준) 세 가지 요건을 모두 충족해야 신청 가능1. 연령: 시행연도 기준 만 18세 이상 만 39세 이하 (1982.01.02.~2003.12.31. 출생자)2. 거주지- 신청일 기준 주민등록상 주소지가 경기도인 자3. 면접응시- 2022.01.01. 이후 일자리를 얻기 위한 면접에 응시한 자지방 소재 기업,해외기업 면접도 신청 가능, 현재 취업여부 무관20년 면접 소급신청자의 연령 및 거주지 조건은 21년 신청자격과 동일",-,"신청일 기준- 실업급여를 수급하고 있는 자- 경기여성취업지원금 참여중인 자- 국민취업지원제도 일경험프로그램 중 체험형에 참여한자- 청년구직자 교통비 지원사업(수원시 청카드, 평택시 평청카드 등)과 같은 유사사업 참여중인 자- 직계 존비속 또는 배우자가 대표자인 사업장 등에 면접 지원한 자(예외 있음)- 경기도가 주관한 공무원 면접에 응시한 자- 고용노동부 구직활동지원금 참여중인 자"
R2023040609869,"경기도 거주,19세-34세 청년",,제한없음
R2023040609870,"성남시 거주 또는 활동(재학, 재직)하는 청년",9월 셋째주(청년의날),-
R2023040609871,성남시 청년(19세-34세),제한없음,제한없음
R2023040609872,문화예술단체 및 지역예술인,"성남거주, 문화예술부분 공익활동 실적 3년이내 2회이상","영리 목적으로하는 사업, 학원, 학습소 등의 자체행사나 발표회, 친목행사 등"
R2023040609873,"성남시 거주 또는 활동(재학, 재직)하는 청년",,-
R2023040609874,제한없음,"성남시 거주, 활동, 재학, 재직 중인 청년",제한없음
R2023040609875,세종시 거주,,없음
R2023040609876,관내 청년,-,-
R2023040609877,세종시 주민등록 된 청년,국가승인통계 제208007호,없음
R2023040609878,-,-,해당없음
R2023040609879,관내 만39세 이하 청년,해당없음,제한없음
R2023040609880,세종시 거주 만 45세 미만 청년농업인,,-
R2023040609881,공고일 현재 세종시에 주민등록이 되어 있는 만19세 이상 만39세 이하인 청년 또는 세종시에 소재한 대학에 재학중인 자,문의사항 : 청년정책담당관 (044-300-6014),세종시청 행정인턴 근무경험 있는 자는 제외(추후 공고시 변동가능)
R2023040609882,미취업자 및 이에 준하는 자,해당 없음,해당없음
R2023040609883,세종시에 생활기반을 둔 청년으로 구성된(구성원의 70%이상) 5명 이상의 공동체,선발 된 공동체는 보조금 교부 전까지 법인을 설립하거나 해당 공동체명으로 고유번호증(세종 세무서 발행)을 발급받아야 함,기존 청년공동체 활성화 사업 참여자
R2023040609884,입주자 모집 공고일 기준 무주택자인 미혼 청년으로서 소득 및 자산기준을 충족한 사람,없음,"주택소유자, 소득 및 자산기준 미충족자"
R2023040609885,"관내 산업단지 내 중소기업 재직근로자(세종시에 주소지를 둔 7년 미만의 근로자(신규채용자*20%이상)  * 신청일 기준 입사 1년 미만 근로자, 3개월 내 세종시 전입조건으로 지원",* 상세내용 모집공고 참조,"6개월미만 단기 근로 계약자, 외국인근로자 제외"
R2023040609886,-,-,-
R2023040609887,-,-,-
R2023040609888,전세계 대학생 및 대학원생,,해당없음
R2023040609889,"대학생, 청소년",-,-
R2023040609890,난임부부 중 여성의 주소가 “세종특별자치시“인 경우,,-
R2023040609891,세종시에 주소를 두고 활동하는 거리예술가,-,해당없음
R2023040609892,"세종시에 주소를 두고 있는 청년예술인 또는 예술단체  - 만 19세 ~ 만 24세  - 모집분야 : 문학, 시각예술, 공연예술(음악, 무용, 연극), 전통예술, 다원예술  - 청년예술분야 : 최근 3년간 1회 이상의 활동실적을 보유한 전업예술인 또는 예술단체  - 생애최초분야 : 세종시/세종시문화재단 예술지원사업 수혜경험이 없는 청년예술인 또는 설립 3년 미만의 에술단체",-,해당없음
R2023040609893,세종시에 거주하거나 관내 소재 학교 재학중인 만9세 이상 만 24세 이하,-,해당없음
R2023040609894,세종시 청년(19세 ~ 39세),,-
R2023040609895,"구인 기업, 구직 청년",해당 없음,해당 없음
R2023040609896,"세종특별자치시 시민 대상으로, 사업개시일 현재 만18세 이상 근로능력자로서 가구원의 소득 합계가 기준 중위소득 60% 이하이면서 재산이 4억 미만인 가구의 구성원",,-
R2023040609897,세종시 관내 거주 중인 청년 중 취업 역량 강화를 희망하는 자,멘토-멘티 불협 및 멘티의 불성실로 활동 중단 시 멘티 자격상실,제한없음
R2023040609898,"* 공고일 기준 주민등록상 세종시 거주 1인가구* 임차보증금 1억원 및 월세 60만원 이하, 85㎡ 이하- 단독주택, 아파트, 오피스텔 등 거주를 목적으로 하는 시설- 신청일 기준 임대차계약서가 체결되어 있고, 주민등록 주소지와 일치- 임대차계약 당사자는 참여자 본인 명의로 체결한 건만 유효* 가구 소득(건강보험료 기준)이 기준 중위소득의 150% 이하* 상세내용 모집공고 참조",* 상세내용 모집공고 참조,"주택소유자, 주거급여 대상자, 국가나 지자체 주거지원 대상자, 공공임대주택 거주자등 제외*상세내용 모집공고 참조"
R2023040609899,"만19세~39세 이하의 무주택 청년으로 세종시에 주소를 두거나, 세종시로 전입할 예정인 자",* 상세내용 모집공고 참조,"주택소유자, 주거급여 대상자, 국가나 지자체 주거지원 대상자, 공공임대주택 거주자등 제외*상세내용 모집공고 참조"
R2023040609900,"세종시 1년 이상 거주자 혹은 세종시 관내 학교 재학생국민기초수급자 및 차상위계층 또는 중위소득 100퍼센트 이하 또는 한국장학재단 소득분위 6분위 이하인 대학생 등* 장학생 분야별 세부요건 상이, 모집공고 참조","타기관(학교), 진흥원 장학금 중 중복지원 불가능할 경우 장학금 환수조치",해당 사업별 제한 대상 제시
R2023040609901,세종시 청년(19세 ~ 39세),,-
R2023040609902,"홍익대학교 세종캠퍼스 과학기술대학 3, 4학년 학생",해당 없음,홍익대 세종캠퍼스 재학생
R2023040609903,"세종시 거주, 학교, 직장 등 관내에서 활동하고 청년정책에 관심이 있는 청년",활동기간 : 23.1.~23.12.*기간 중 3개월 동안 회의 미참여 등 활동이 없을 경우 자동 탈퇴,-
R2023040609904,근로 청년(창업청년 및 공공기관 근로자 등 제외),해당 없음,해당 없음
R2023040609905,세종시에 주민등록,-,세종시민
R2023040609906,"① 지역특화분야 인재양성(학위과정)- 한국영상대 재학생② 성인학습자 교육(비학위과정)- 일반시민(청년, 신중년, 취약계층 등 포함)",-,해당 없음
R2023040609907,없음,,없음
R2023040609908,세종시민,,해당없음
R2023040609909,제한없음,,"국제기능올림픽대회 입상자, 전국대회 입상자 중 국가대표선수로 선발될 수 있는 기회가 주어졌던 자, 전국대회 입상자 중 차기년도 국제대회의 참가가능 연령을 초과하는 자"
R2023040609910,충청권 도·시민,해당없음,제한없음
R2023040609911,"취업준비생, 창업자, 구직자 등",해당 없음,해당 없음
R2023040609912,"관내 고등학생, 대학생",해당 없음,해당 없음
R2023040609913,① (예비)청년창업자- 1983. 1. 1. 이후 출생한 (예비)청년창업자**중소기업창업 지원법 시행령 제5조의4- (공고일 기준) 사업자등록증 소재지 또는 주민등록상 거주지가 세종시인 자- (공고일 기준) 주민등록상 1년 이상 세종시 거주하거나 사업자등록 7년 이내 또는 사업을 준비 중인 자② 청년농업인- 1978. 1. 1. 이후 출생한 청년농업인**세종특별자치시 청년농업인 육성 및 지원 조례 제2조- (공고일 기준) 주민등록상 1년 이상 세종시 거주자 이거나 농업경영체등록 농지소재지가 세종시인 자,"① (매출액) 전년도 매출액 10억원 미만 기업에 한해 지원② (기타사항) 국세, 지방세, 4대 보험 등 체납 내역이 없는 기업에 한해 지원③ (기타사항) 동일 사업에 이미 지원을 받은 기업 제외④ (지원제한 업종) 중소기업창업 지원법 시행령 제4조에 해당하는 업종**일반유흥주점업, 무도유흥주점업, 기타 사행시설관리",-
R2023040609914,세종시 청년(19세 ~ 39세),,-
R2023040609915,"만 19~34세, 전세보증금 2억원 이하, 연소득 4천만원 이하(부부합산 5천만원 이하)의 무주택 임차인 중 보증가입자",-,미정
R2023040609916,세종시 1년 이상 거주 대학(원)생 및 졸업 2년이내 미취업자,세종특별자치시 인재육성평생교육진흥원 - 인재육성사업 - 장학금신청 - 학자금대출이자지원장학금,2016년 이후 대출건만 해당
R2023040609917,"고려대학교 식품규제과학과 석,박사 과정 입학생",세종시 거주 및 관내 기업 종사자 대상,제한없음
R2023040609918,-,"○ (지원대상) 신생아의 출생일 기준 3개월 이전 또는 출생일을 포함하여이후 3개월 이상 계속 세종시에 주민등록을 두고 거주하는 부 또는 모○ (지원기준) 신생아의 출생신고를 우리 시에 한 경우, 신청일 익월 25일 지급○ (지원금액) 한 자녀 마다, 한 차례 120만원(여민전 지급)",지원조건 미충족 대상
R2023040609919,청년창업자,"- 대상 : 관내 거주 39세 미만 청년창업자- 사업화자금 사용 비목 제한 : 인건비, 임대료 사용제한, 공간조성 등 사업아이템 개발 목적으로만 사용 가능","39세 초과 창업자, 관외 거주자"
R2023040609920,"사회 각 분야 학식과 전문경험, 덕망을 갖춘 청년(15~39세) 누구나","- 본 제도는 다양한 분야 청년들의 의견과 경험을 수렴하고, 참여확대를 위한 인력풀(인력은행)로 신청과 동시에 위원으로 위촉되는 것은 아님- 관련 설치/운영 등 규정에 의거 민간참여가 제한된 위원회는 위촉 불가",* 상세내용 모집공고 참조
R2023040609921,"- 금정구 소재 사업장(카페, 복합문화공간 등)  - 사업장 임대차 또는 매매계약이 공고일 현재 1년이상 잔존하는 사업주  - 응원청년의 모바일포인트를 음료구매나 공간대여료 등으로 사용가능한 곳 등",-,-
R2023040609922,금정 청년네트워크 활동 구성원,-,-
R2023040609923,-,"○ (지원조건) 다음 조건을 충족하는 남성 육아휴직자- 육아휴직자가 신청일 기준 시에 1년이상 계속하여 주민등록이 되어 있는 경우- 육아휴직의 대상 자녀가 신청일 기준 시에 주민등록을 두고 있는 경우- 고용보험법 제70조에 따른 육아휴직 급여의 지급조건을 충족하는 경우- 고용보험법 시행령 제95조의2에 해당하는 특례 적용자(월 통상임금의 100%지급결정자)는 육아휴직 3개월까지 적용 제외(고용노동부 한시적용기간 적용)○ (지원금액) 월30만원씩, 최소 1개월 ∼ 최대 6개월(30만원∼180만원)",지원조건 미충족 대상
R2023040609924,관내 청년 및 전문가,-,-
R2023040609925,관내 구직자,-,해당없음
R2023040609926,청년(중구민 우선),-,-
R2023040609927,관내 소재 사업장으로 창업(예정) 청년 사업가,-,-
R2023040609928,"여행 기획에 관심있는 관내 거주 또는 활동 청년, 지역주민",-,-
R2023040609929,연제구에 1년 이상 거주주인 미취업(미창업) 청년,-,-
R2023040609930,창업에 관심있는 청년 누구나(연제구 거주자 우선),-,-
R2023040609931,해운대구 및 부산시 거주 청년,-,없음
R2023040609932,제한없음,-,-
R2023040609933,해운대구 거주 대학생,1회(1년간) 지원,전통시장 내 빈 점포에 창업을 희망하는 청년
R2023040609934,제한없음,-,-
R2023040609935,북구 거주자,,-
R2023040609936,북구 거주자,,-
R2023040609937,동래구 거주자 우선 선발,-,-
R2023040609938,부산시 거주,-,"기업1.자본잠식상태 등 사업의 유지가 어려울 것으로 판단되는 사업장 2. 노사분규 중이거나 고용보험 미가입 사업장3. 근로기준법 제43조의 2에 따라 임금 등을 체불하여 명단이 공개 중인 사업주4. 공고일 이전 지원금 등을 부정하게 수급하거나 미반환 사실이 있는 사업장5. 2022년 지역주도형 청년일자리사업에 다른 유형으로 참여하는 사업장6. 기타 자치단체장이 사업 목적과 취지에 맞지않다고 판단하는 기업청년 1. 채용예정일(2022.3.2.)기준 부산시 이외의 지역에 주민등록을 두고 있는 자2. 채용예정일 기준 재직자, 사업자등록이 있는 자3. 채용예정일 기준 고등학교 또는 대학 재학 중인 자(단, 대학의 마지막 학기 재학중인 졸업예정자, 방송, 통신, 사이버대학, 학점은행제, 야간대학, 대학원에 재학 중인 자는 가능)4. 직접일자리사업 합동지침을 참고하여, 직접일자리사업 중복 참여 및 반복 참여자5. 금융기관을 통한 계좌개설이 불가능하거나 본인 명의의 금융자산에 대한 압류가 진행 중인 자6. 기타 사상구청장이 참여제한의 사유가 있다고 인정되는 자(위법행위 등)7. 사업주와 친,인척 관계 등 특수관계에 있거나, 해당 사업장에서 근무하다 최근 1년 이내에 이직한 자"
R2023040609939,만 19~34세의 청년 창업자,계획 수립예정,계획 수립예정
R2023040609940,구정에 참여하는 만 19~34세의 전국 청년 누구나,,-
R2023040609941,수영구 주민등록 미취업 청년,사업참여 기간 2년 충족하고 3개월 내 해당 지역에서 정규직으로 전화(유지) 및 창업시 인센티브 지급(1천만원 이내),"-  정부, 지방자치단체 등 직접일자리사업 중복참여자 및 2년이상 반복참여-  공고일 기준 고용보험 가입자-  일반 대학생 및 휴학생   (단, 대학교 졸업예정자로서 4년제 대학교는 4학년 1학기 이수한 자,        2년제 전문대학은 2학년 1학기 이수한 자는 참여 가능)-  금융기관 등으로부터 채무불이행으로 규제중인 자-  국세 또는 지방세 체납으로 규제중인 자-  기타 수영구청장이 위법행위 등 참여 제한의 사유가 있다고 인정되는 자"
R2023040609942,남구 거주자,-,정부사업 및 지자체 사업 참여자
R2023040609943,"문화예술 기획에 관심있는 관내 거주 또는 활동 청년, 지역주민",-,-
R2023040609944,금정구 내 청년,-,-
R2023040609945,해운대구 거주 청년,-,없음
R2023040609946,해운대구 거주 청년,지원기간 : 2년,없음
R2023040609947,해운대구 거주,가구 기준중위소득 120%이상~150%미만,"가구 기준중위소득 120%미만 자, 재학생"
R2023040609948,해운대구 거주,없음,없음
R2023040609949,관내 거주 미취업 청년,-,-
R2023040609950,북구 거주자,,-
R2023040609951,북구 거주자,,-
R2023040609952,북구 거주자,,-
R2023040609953,창업 7년 이내 청년창업기업,,1.자본잠식상태 등 사업의 유지가 어려울 것으로 판단되는 사업장 2. 노사분규 중이거나 고용보험 미가입 사업장3. 근로기준법 제43조의 2에 따라 임금 등을 체불하여 명단이 공개 중인 사업주4. 공고일 이전 지원금 등을 부정하게 수급하거나 미반환 사실이 있는 사업장5. 2022년 지역주도형 청년일자리사업에 다른 유형으로 참여하는 사업장6. 기타 자치단체장이 사업 목적과 취지에 맞지않다고 판단하는 기업
R2023040609954,청년 누구나,"1. 위치 : 부산 사하구 낙동대로 413, 2층(하단동, 하단롯데캐슬)2. 규모 : 106.8㎡3. 주요기능 : 청년 문화활동 지원 및 소통ㆍ교류 활성화 도모4. 조성시설 : 열린공간, 공유카페, 미팅룸(2실) 등5. 운영사업 : 청년 문화활동 지원 프로그램, 청년 커뮤니티 공간 제공 등6. 운영시간 : 월~금 9~18시(토,일,공휴일 휴관)",-
R2023040609955,만 19~34세의 청년 및 혼인신고 7년 이내인 신혼부부(연령기준 포함),계획 수립예정,계획 수립예정
R2023040609956,타지역에서 수영구로 전입하는 무주택 1인 가구 청년(만 19~34세),청년기준 : 만 19세~34세의 무주택 1인 가구 청년(신청일 기준)전입기준 : 아래 요건을 모두 충족한 자 - 수영구 외 지역에서 수영구로 전입(전입일로부터 90일 이내 신청) - 2023. 1. 1부터 전입 및 이사한 자(전입신고 필수)거주유형 : 전월세 거주(보증금 5천만원 이하이고 월세 60만원 이하)소득 : 건강보험료 부과 기준 중위소득 150% 이하 가구에 속하는 자,"1. 주택소유자2. 임대인(임차건물 집주인)이 신청인 및 배우자의 직계존비속(신청인의 배우자 포함)일 경우3. 임대차 계약기간이 1년 미만인 경우4. 본인 명의의 통장 입출금 거래가 불가능한 자5. 같은 이사 건에 대하여 중앙부처, 지자체 등에서 이사비 지원을 받은 자6. 시타 사업 취지에 부합하지 않다고 판단되는 경우"
R2023040609957,남구 거주자,-,정부사업 및 지자체 사업 참여자
R2023040609958,남구 거주자,-,정부사업 및 지자체 사업 참여자
R2023040609959,"남구에 1년 이상 거주하고 있는 미취업, 미창업 청년",-,-
R2023040609960,남구에 1년 이상 거주하고 있는 만 18~39세 미취업․미창업 청년,-,-
R2023040609961,청년 예술가,-,-
R2023040609962,"지역 청년 예술단체 및 아티스트, 지역주민 등",-,-
R2023040609963,제한없음,-,-
R2023040609964,남구 거주 만18~39세 1인 가구 청년,-,-
R2023040609965,청년(남구 거주자 우선),,-
R2023040609966,청년 문화예술공연단체,-,-
R2023040609967,만39세이하 미취업 청년여성,,직접일자리 정부사업 참여자
R2023040609968,부산 거주 미취업자,부산지역내 디지털 치의학산업 관련기업 종사자,- 지원 기간 동안 주민등록상 주소지를 부산광역시 내에 두어야 함- 타 지역 거주자는 사업 참여자 선정 후 1개월 내 전입- 직접 일자리 중복 참여 및 반복 참여자는 배제 - (청년) : 만18세 이상 만39세 이하의 부산 거주 미취업 청년 (치과기공사 면허 소지자)- (기업) : 부산지역 내 치과기공소 개설등록증을 보유한 기업
R2023040609969,부산지역 대학생,-,-
R2023040609970,부산거주 청년(만39세 이하) 및 부산소재 중소기업,,직접일자리 정부사업 참여자
R2023040609971,부산지역 만18세이상 39세이하 미취업 청년,,-
R2023040609972,부산지역 만18세이상 39세이하 미취업 청년,,-
R2023040609973,업력 7년 미만 패션 디자이너 등,-,해당없음
R2023040609974,부산지역 만39세 이하 미취업 청년,,지역주도형 청년일자리사업 참여자
R2023040609975,일경험이 없거나 1년 미만의 취준생 및 사회초년생,-,-
R2023040609976,관내 고등학교 3학년 및 특성화고 학생,-,-
R2023040609977,청년,-,-
R2023040609978,-,-,-
R2023040609979,북구 거주자,,-
R2023040609980,북구 거주자,,-
R2023040609981,북구 거주자,,-
R2023040609982,해운대구 거주,지원기간 : 2+1년 이내,타 재정지원일자리사업 참여자
R2023040609983,"1. 공고일 현재 부산지역 소재 대학교에 재,휴학중인 대학(원생) 및 (학부)졸업생(※졸업생 : 부산지역 거주자 중 졸업 후 2년 이내 미취업자)2. 2016년 이후 한국장학재단 학자금 대출을 받은 자3. 대출 해당학기를 기준으로소득 8분위 이내인 자(8분위 포함)",-,-
R2023040609984,부산지역 공공기관 취업준비생,-,제한없음
R2023040609985,만39세이하 미취업 청년여성,,직접일자리 정부사업 참여자
R2023040609986,만39세이하 미취업 청년여성,,직접일자리 정부사업 참여자
R2023040609987,"부산거주,무주택 신혼부부등",-수급자 등 중복수혜자 제외 등,-가구당월평균소득70%이내 등
R2023040609988,지역예술가 등,-,-
R2023040609989,금정구 거주 청년,-,-
R2023040609990,전국 청소년 및 대학생,-,-
R2023040609991,"1. 만 19세에서 만 39세까지의 청년으로 사업전망이 우수한 아이디어를 가진 예비창업자 및 사업자등록 3년 미만인 자2. 창의적인 아이디어와 전문분야의 기술을 갖춘 사업화 가능한 업종(권장업종 : IT관련업, 디자인업, 서비스업 등, 제한업종 : 요식업, 부동산중개업, 사행산업 등)",가점부여대상1. 공고일 현재 6개월 이상 금정구에 주민등록을 둔 자2. 금정구에서 추진한 창업 관련 프로그램에 참여한 자3. 금정구와 관련된 지역특화사업으로 신청하는 자4. 2인 이상 팀을 구성하여 신청하는 경우,"신청자격 제한1. 금융기관의 신용불량거래자2. 국세, 지방세 등 체납자3. 타 지자체 및 기관에 입주 중인 자"
R2023040609992,대학생,-,-
R2023040609993,주민등록 주소지가 북구,지원기간 : 2년 이내,동일 지원 사업 대상자
R2023040609994,주민등록 주소지가 북구,지원기간 : 2년 이내,동일 지원 사업 대상자
R2023040609995,북구 거주자,,-
R2023040609996,북구 거주자,,-
R2023040609997,해운대구 거주,지원기간 : 2+1년 이내,타 재정지원일자리사업 참여자
R2023040609998,부산시거주자,최대2년,"정부, 지방자치단체에서 운영하는 유사사업 중복 참여자"
R2023040609999,"예비창업자, 창업초기 1인창조기업",없음,없음
R2023040610000,해운대구 거주자,없음,없음
R2023040610001,해운대구 거주,지원기간 : 2+1년 이내,타 재정지원일자리사업 참여자
R2023040610002,"해운대구 거주, 미취업 청년",지원횟수: 연2회,이직자 제외
R2023040610003,해운대구 거주자,-,타 재정지원일자리사업 참여자 등
R2023040610004,부산시 거주자,-,타 재정지원일자리사업 참여자 등
R2023040610005,"신청일 현재 부부 중 1명 이상 해운대구에 주민등록을 두고 혼인신고한 신혼부부,  아내가 가임기 여성(15세~49세)인 신혼부부",없음,"혼인신고한 부부 모두 해운대구 주민이 아닌 자, 아내가 가임기 여성(15세~49세)이 아닌 자"
R2023040610006,해운대구 거주,지원기간 : 2+1년 이내,타 재정지원일자리사업 참여자
R2023040610007,해운대구 거주 대학생,,타 재정지원일자리사업 참여자 등
R2023040610008,"청년, (예비)창업자","1. 위치 : 부산 사하구 하신중앙로 324, 2층(하단동, 보해이브빌2차)2. 규모 : 517㎡3. 주요기능 : 창업보육+청년지원4. 조성시설 : 입주공간, 시제품제작실, 세미나실, 스터디룸, 영상작업실, 열린공간 등5. 운영사업 : 창업공간 지원, 창업교육 및 상담, 인큐베이팅, 멘토링, 청년 취업 역량강화 교육, 시제품 제작 프로그램 등6. 운영시간 : 월~금 9~18시(토,일,공휴일 휴관)",-
R2023040610009,사하구에 거주·활동하는 만 19세~ 34세 청년,"사하구 하신중앙로 324, 2층(하단동, 보해이브빌2차) 사하구 청년창업지원센터 내",-
R2023040610010,1. 공고일 기준 주민등록 또는 사업장 주소지가 부산광역시인 자2. 기술적ㆍ창의적 아이디어를 보유하고 센터 입주 후 3개월 이내 사업자 등록이 가능한 자3. 공고일 기준 업력 3년 이내의 스타트업 및 기술 집약형 창업기업,"1. 위치 : 부산 사하구 하신중앙로 324, 2층(하단동, 보해이브빌2차) ▷사하구 청년창업지원센터 내2. 입주공간 : 22개실 ▷입주실 12개실(1인실 3, 2인실 6, 3인실 3), 다인실 10개실3. 입주기간 : 입주일로부터 1년   *계약기간 종료 전 평가 후 연장 가능(우수기업 최대 3년 입주 가능)4. 입주부담금 : 월 3~8만원(분기별로 부과 및 납부)",-
R2023040610011,제한없음,-,-
